n,seconds
1347,0.0008932
1348,0.0009367
1349,0.0009462
1350,0.0011732
1351,0.0009376
1352,0.0009149
1353,0.0009639
1354,0.0008958
1355,0.0008813
1356,0.0008517
1357,0.0009276
1358,0.0008949
1359,0.0008735
1360,0.0008724
1361,0.000889
1362,0.0010022
1363,0.0008773
1364,0.0008951
1365,0.0009802
1366,0.0009318
1367,0.001008
1368,0.0009732
1369,0.0008902
1370,0.0009024
1371,0.0008786
1372,0.0009045
1373,0.000894
1374,0.0008955
1375,0.0009597
1376,0.0008692
1377,0.0009762
1378,0.0009243
1379,0.0009158
1380,0.001058
1381,0.0010627
1382,0.0010158
1383,0.0009426
1384,0.0009261
1385,0.0009214
1386,0.0009495
1387,0.0009508
1388,0.0009098
1389,0.0009498
1390,0.0009351
1391,0.0009386
1392,0.0009545
1393,0.0009099
1394,0.0010191
1395,0.0011099
1396,0.0009814
1397,0.0010224
1398,0.0009256
1399,0.0009052
1400,0.0009252
1401,0.0009054
1402,0.0009428
1403,0.0009196
1404,0.0009316
1405,0.0009177
1406,0.0009228
1407,0.0009089
1408,0.0009118
1409,0.0011803
1410,0.0009906
1411,0.0010268
1412,0.000978
1413,0.0008983
1414,0.0009101
1415,0.0009571
1416,0.0009423
1417,0.0009383
1418,0.0009208
1419,0.0009334
1420,0.0009416
1421,0.0009182
1422,0.0009214
1423,0.0009889
1424,0.0011497
1425,0.0009982
1426,0.001012
1427,0.0009212
1428,0.0009051
1429,0.0009178
1430,0.0010106
1431,0.0009623
1432,0.0009625
1433,0.0009581
1434,0.0009692
1435,0.0009934
1436,0.0009592
1437,0.0009992
1438,0.0010197
1439,0.0010504
1440,0.0009582
1441,0.000997
1442,0.0009923
1443,0.0009963
1444,0.0009652
1445,0.0009582
1446,0.0009699
1447,0.00096
1448,0.001007
1449,0.0009634
1450,0.0009572
1451,0.0010308
1452,0.0010403
1453,0.0010362
1454,0.0009829
1455,0.0009623
1456,0.0009796
1457,0.0009858
1458,0.0009684
1459,0.0009768
1460,0.000967
1461,0.0009809
1462,0.00099
1463,0.0009813
1464,0.001001
1465,0.0010261
1466,0.0010967
1467,0.0010536
1468,0.0009903
1469,0.0010132
1470,0.0010338
1471,0.0009889
1472,0.0009787
1473,0.0009734
1474,0.0009812
1475,0.0009766
1476,0.0010129
1477,0.0010202
1478,0.0009778
1479,0.0010702
1480,0.0010666
1481,0.0009999
1482,0.0010678
1483,0.0009731
1484,0.0009856
1485,0.0009693
1486,0.0010447
1487,0.0010334
1488,0.0010123
1489,0.0009761
1490,0.0009985
1491,0.0009422
1492,0.0009626
1493,0.0012415
1494,0.0011801
1495,0.0010673
1496,0.0010222
1497,0.0010349
1498,0.0010282
1499,0.0010499
1500,0.0010182
1501,0.0009964
1502,0.0009859
1503,0.0010239
1504,0.0009728
1505,0.0009761
1506,0.0012698
1507,0.0010341
1508,0.0010689
1509,0.0010929
1510,0.0010249
1511,0.0010177
1512,0.0010254
1513,0.0010107
1514,0.0010252
1515,0.0010093
1516,0.0009675
1517,0.0010236
1518,0.0010075
1519,0.0010136
1520,0.0011289
1521,0.0010834
1522,0.001193
1523,0.0010537
1524,0.0010471
1525,0.0010656
1526,0.0010583
1527,0.0010257
1528,0.0010413
1529,0.0010683
1530,0.0010817
1531,0.0010064
1532,0.0010235
1533,0.0011045
1534,0.0011151
1535,0.0010283
1536,0.0011088
1537,0.0010534
1538,0.0010367
1539,0.0010871
1540,0.001058
1541,0.0010673
1542,0.0010441
1543,0.0009976
1544,0.0010552
1545,0.0010152
1546,0.0011927
1547,0.0012184
1548,0.0010543
1549,0.0010874
1550,0.0010259
1551,0.0010599
1552,0.0010302
1553,0.0011307
1554,0.0010409
1555,0.001033
1556,0.0010725
1557,0.0010091
1558,0.0010401
1559,0.0011066
1560,0.0011971
1561,0.0011611
1562,0.0011815
1563,0.0010822
1564,0.0010401
1565,0.0011029
1566,0.0010594
1567,0.0010601
1568,0.0010597
1569,0.0010429
1570,0.0010663
1571,0.0012033
1572,0.0010906
1573,0.0010483
1574,0.0010705
1575,0.001071
1576,0.0010511
1577,0.0010491
1578,0.0010602
1579,0.0010575
1580,0.0010959
1581,0.0010602
1582,0.0010882
1583,0.0011091
1584,0.0011582
1585,0.0010813
1586,0.0010601
1587,0.001078
1588,0.0010674
1589,0.0010711
1590,0.001083
1591,0.0011101
1592,0.0010903
1593,0.0011041
1594,0.0010916
1595,0.0010776
1596,0.0011465
1597,0.0011297
1598,0.0010947
1599,0.0010977
1600,0.001062
1601,0.0011014
1602,0.0010922
1603,0.0010928
1604,0.0010878
1605,0.0010778
1606,0.0011219
1607,0.0010998
1608,0.0011005
1609,0.0011151
1610,0.0010912
1611,0.0010294
1612,0.0009915
1613,0.0010023
1614,0.0010398
1615,0.0009854
1616,0.0009798
1617,0.0010481
1618,0.0009885
1619,0.0010727
1620,0.0010165
1621,0.0010068
1622,0.0010197
1623,0.0010668
1624,0.0010824
1625,0.0010991
1626,0.0010515
1627,0.0010534
1628,0.001037
1629,0.0010261
1630,0.0010853
1631,0.0010911
1632,0.001071
1633,0.0010279
1634,0.0010391
1635,0.0010316
1636,0.0010721
1637,0.0010731
1638,0.0011455
1639,0.0010321
1640,0.001038
1641,0.0010275
1642,0.0010179
1643,0.0010553
1644,0.0010028
1645,0.0010551
1646,0.0010304
1647,0.0010247
1648,0.001033
1649,0.0009939
1650,0.0012058
1651,0.001088
1652,0.0010553
1653,0.0011263
1654,0.0010076
1655,0.0010622
1656,0.0010418
1657,0.0010874
1658,0.0010462
1659,0.0010272
1660,0.0010975
1661,0.0010845
1662,0.0010499
1663,0.0011345
1664,0.0011063
1665,0.001051
1666,0.0010715
1667,0.0010388
1668,0.0010386
1669,0.0010877
1670,0.0011275
1671,0.0010732
1672,0.0010546
1673,0.0010536
1674,0.0010331
1675,0.0010447
1676,0.0011551
1677,0.001104
1678,0.0010941
1679,0.001031
1680,0.0010317
1681,0.0010366
